County,Date,Deaths
 Coke County ,2011,1
 Coke County ,2012,0
 Coleman County ,1999,18
 Coleman County ,2000,18
 Coleman County ,2001,8
 Coleman County ,2002,9
 Coleman County ,2003,13
 Coleman County ,2004,14
 Coleman County ,2005,9
 Coleman County ,2006,10
 Coleman County ,2007,21
 Coleman County ,2008,15
 Coleman County ,2009,19
 Coleman County ,2010,12
 Coleman County ,2011,7
 Coleman County ,2012,15
 Collin County ,1999,40
 Collin County ,2000,52
 Collin County ,2001,58
 Collin County ,2002,47
 Collin County ,2003,50
 Collin County ,2004,58
 Collin County ,2005,52
 Collin County ,2006,41
 Collin County ,2007,41
 Collin County ,2008,55
 Collin County ,2009,50
 Collin County ,2010,47
 Collin County ,2011,71
 Collin County ,2012,67
 Collingsworth County ,1999,4
 Collingsworth County ,2000,1
 Collingsworth County ,2001,0
 Collingsworth County ,2002,1
 Collingsworth County ,2003,3
 Collingsworth County ,2004,2
 Collingsworth County ,2005,0
 Collingsworth County ,2006,0
 Collingsworth County ,2007,0
 Collingsworth County ,2008,1
 Collingsworth County ,2009,2
 Collingsworth County ,2010,0
 Collingsworth County ,2011,0
 Collingsworth County ,2012,0
 Colorado County ,1999,10
 Colorado County ,2000,10
 Colorado County ,2001,10
 Colorado County ,2002,6
 Colorado County ,2003,7
 Colorado County ,2004,7
 Colorado County ,2005,4
 Colorado County ,2006,7
 Colorado County ,2007,11
 Colorado County ,2008,7
 Colorado County ,2009,2
 Colorado County ,2010,2
 Colorado County ,2011,8
 Colorado County ,2012,5
 Comal County ,1999,19
 Comal County ,2000,13
 Comal County ,2001,9
 Comal County ,2002,21
 Comal County ,2003,14
 Comal County ,2004,17
 Comal County ,2005,18
 Comal County ,2006,6
 Comal County ,2007,11
 Comal County ,2008,16
 Comal County ,2009,19
 Comal County ,2010,18
 Comal County ,2011,16
 Comal County ,2012,34
 Comanche County ,1999,4
 Comanche County ,2000,3
 Comanche County ,2001,8
 Comanche County ,2002,5
 Comanche County ,2003,3
 Comanche County ,2004,5
 Comanche County ,2005,5
 Comanche County ,2006,3
 Comanche County ,2007,3
 Comanche County ,2008,7
 Comanche County ,2009,4
 Comanche County ,2010,3
 Comanche County ,2011,2
 Comanche County ,2012,2
 Concho County ,1999,1
 Concho County ,2000,0
 Concho County ,2001,2
 Concho County ,2002,2
 Concho County ,2003,2
 Concho County ,2004,1
 Concho County ,2005,1
 Concho County ,2006,3
 Concho County ,2007,2
 Concho County ,2008,0
 Concho County ,2009,0
 Concho County ,2010,1
 Concho County ,2011,0
 Concho County ,2012,0
 Cooke County ,1999,9
 Cooke County ,2000,9
 Cooke County ,2001,8
 Cooke County ,2002,12
 Cooke County ,2003,12
 Cooke County ,2004,11
 Cooke County ,2005,9
 Cooke County ,2006,6
 Cooke County ,2007,4
 Cooke County ,2008,9
 Cooke County ,2009,9
 Cooke County ,2010,10
 Cooke County ,2011,11
 Cooke County ,2012,11
 Coryell County ,1999,5
 Coryell County ,2000,9
 Coryell County ,2001,9
 Coryell County ,2002,9
 Coryell County ,2003,9
 Coryell County ,2004,5
 Coryell County ,2005,4
 Coryell County ,2006,8
 Coryell County ,2007,10
 Coryell County ,2008,11
 Coryell County ,2009,5
 Coryell County ,2010,5
 Coryell County ,2011,7
 Coryell County ,2012,7
 Cottle County ,1999,1
 Cottle County ,2000,0
 Cottle County ,2001,0
 Cottle County ,2002,0
 Cottle County ,2003,0
 Cottle County ,2004,0
 Cottle County ,2005,0
 Cottle County ,2006,0
 Cottle County ,2007,0
 Cottle County ,2008,0
 Cottle County ,2009,0
 Cottle County ,2010,0
 Cottle County ,2011,0
 Cottle County ,2012,0
 Crane County ,1999,1
 Crane County ,2000,2
 Crane County ,2001,2
 Crane County ,2002,2
 Crane County ,2003,1
 Crane County ,2004,0
 Crane County ,2005,6
 Crane County ,2006,1
 Crane County ,2007,1
 Crane County ,2008,0
 Crane County ,2009,0
 Crane County ,2010,0
 Crane County ,2011,1
 Crane County ,2012,1
 Crockett County ,1999,1
 Crockett County ,2000,1
 Crockett County ,2001,2
 Crockett County ,2002,3
 Crockett County ,2003,0
 Crockett County ,2004,0
 Crockett County ,2005,0
 Crockett County ,2006,4
 Crockett County ,2007,1
 Crockett County ,2008,1
 Crockett County ,2009,1
 Crockett County ,2010,4
 Crockett County ,2011,3
 Crockett County ,2012,0
 Crosby County ,1999,2
 Crosby County ,2000,2
 Crosby County ,2001,1
 Crosby County ,2002,4
 Crosby County ,2003,1
 Crosby County ,2004,0
 Crosby County ,2005,6
 Crosby County ,2006,5
 Crosby County ,2007,3
 Crosby County ,2008,0
 Crosby County ,2009,2
 Crosby County ,2010,1
 Crosby County ,2011,3
 Crosby County ,2012,2
 Culberson County ,1999,3
 Culberson County ,2000,1
 Culberson County ,2001,0
 Culberson County ,2002,1
 Culberson County ,2003,0
 Culberson County ,2004,1
 Culberson County ,2005,0
 Culberson County ,2006,2
 Culberson County ,2007,0
 Culberson County ,2008,1
 Culberson County ,2009,1
 Culberson County ,2010,0
 Culberson County ,2011,1
 Culberson County ,2012,0
 Dallam County ,1999,0
 Dallam County ,2000,1
 Dallam County ,2001,0
 Dallam County ,2002,1
 Dallam County ,2003,0
 Dallam County ,2004,0
 Dallam County ,2005,2
 Dallam County ,2006,0
 Dallam County ,2007,2
 Dallam County ,2008,0
 Dallam County ,2009,1
 Dallam County ,2010,0
 Dallam County ,2011,1
 Dallam County ,2012,2
 Dallas County ,1999,262
 Dallas County ,2000,328
 Dallas County ,2001,316
 Dallas County ,2002,297
 Dallas County ,2003,272
 Dallas County ,2004,250
 Dallas County ,2005,329
 Dallas County ,2006,275
 Dallas County ,2007,266
 Dallas County ,2008,272
 Dallas County ,2009,286
 Dallas County ,2010,237
 Dallas County ,2011,209
 Dallas County ,2012,224
 Dawson County ,1999,4
 Dawson County ,2000,4
 Dawson County ,2001,6
 Dawson County ,2002,2
 Dawson County ,2003,2
 Dawson County ,2004,4
 Dawson County ,2005,1
 Dawson County ,2006,2
 Dawson County ,2007,0
 Dawson County ,2008,2
 Dawson County ,2009,5
 Dawson County ,2010,4
 Dawson County ,2011,2
 Dawson County ,2012,1
 Deaf Smith County ,1999,9
 Deaf Smith County ,2000,10
 Deaf Smith County ,2001,10
 Deaf Smith County ,2002,1
 Deaf Smith County ,2003,5
 Deaf Smith County ,2004,1
 Deaf Smith County ,2005,3
 Deaf Smith County ,2006,4
 Deaf Smith County ,2007,2
 Deaf Smith County ,2008,1
 Deaf Smith County ,2009,5
 Deaf Smith County ,2010,2
 Deaf Smith County ,2011,4
 Deaf Smith County ,2012,4
 Delta County ,1999,2
 Delta County ,2000,2
 Delta County ,2001,4
 Delta County ,2002,6
 Delta County ,2003,5
 Delta County ,2004,2
 Delta County ,2005,3
 Delta County ,2006,7
 Delta County ,2007,1
 Delta County ,2008,3
 Delta County ,2009,3
 Delta County ,2010,1
 Delta County ,2011,2
 Delta County ,2012,2
 Denton County ,1999,43
 Denton County ,2000,36
 Denton County ,2001,37
 Denton County ,2002,60
 Denton County ,2003,45
 Denton County ,2004,56
 Denton County ,2005,76
 Denton County ,2006,55
 Denton County ,2007,94
 Denton County ,2008,95
 Denton County ,2009,89
 Denton County ,2010,69
 Denton County ,2011,88
 Denton County ,2012,84
 DeWitt County ,1999,6
 DeWitt County ,2000,9
 DeWitt County ,2001,4
 DeWitt County ,2002,5
 DeWitt County ,2003,7
 DeWitt County ,2004,2
 DeWitt County ,2005,2
 DeWitt County ,2006,4
 DeWitt County ,2007,5
 DeWitt County ,2008,2
 DeWitt County ,2009,6
 DeWitt County ,2010,2
 DeWitt County ,2011,4
 DeWitt County ,2012,4
 Dickens County ,1999,0
 Dickens County ,2000,2
 Dickens County ,2001,1
 Dickens County ,2002,2
 Dickens County ,2003,3
 Dickens County ,2004,1
 Dickens County ,2005,0
 Dickens County ,2006,0
 Dickens County ,2007,0
 Dickens County ,2008,0
 Dickens County ,2009,1
 Dickens County ,2010,1
 Dickens County ,2011,0
 Dickens County ,2012,0
 Dimmit County ,1999,10
 Dimmit County ,2000,6
 Dimmit County ,2001,7
 Dimmit County ,2002,7
 Dimmit County ,2003,2
 Dimmit County ,2004,5
 Dimmit County ,2005,4
 Dimmit County ,2006,2
 Dimmit County ,2007,2
 Dimmit County ,2008,4
 Dimmit County ,2009,1
 Dimmit County ,2010,2
 Dimmit County ,2011,3
 Dimmit County ,2012,3
 Donley County ,1999,0
 Donley County ,2000,0
 Donley County ,2001,2
 Donley County ,2002,1
 Donley County ,2003,2
 Donley County ,2004,2
 Donley County ,2005,1
 Donley County ,2006,1
 Donley County ,2007,0
 Donley County ,2008,0
 Donley County ,2009,0
 Donley County ,2010,1
 Donley County ,2011,2
 Donley County ,2012,0
 Duval County ,1999,1
 Duval County ,2000,3
 Duval County ,2001,2
 Duval County ,2002,3
 Duval County ,2003,3
 Duval County ,2004,5
 Duval County ,2005,2
 Duval County ,2006,3
 Duval County ,2007,1
 Duval County ,2008,3
 Duval County ,2009,3
 Duval County ,2010,2
 Duval County ,2011,3
 Duval County ,2012,3
 Eastland County ,1999,14
 Eastland County ,2000,14
 Eastland County ,2001,15
 Eastland County ,2002,9
 Eastland County ,2003,9
 Eastland County ,2004,4
 Eastland County ,2005,7
 Eastland County ,2006,7
 Eastland County ,2007,7
 Eastland County ,2008,5
 Eastland County ,2009,7
 Eastland County ,2010,4
 Eastland County ,2011,5
 Eastland County ,2012,8
 Ector County ,1999,20
 Ector County ,2000,35
 Ector County ,2001,27
 Ector County ,2002,34
 Ector County ,2003,40
